time,VNINDEX,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2022-04-27,1353.77,14.4916,75.3868,26.9804,53.984,17.3701,52.2744,74.4393,27.1994,10.1833,24.3659,9.3985,13.4062,118.1313,65.2097,42.4008,67.5013,8.7846,22.7234,20.7375,28.2,19.6514,17.398,45.8258,63.154,16.4243,39.0,129.0,59.7385,21.1176,30.5
2022-04-28,1350.99,14.5385,80.0142,26.6178,52.6673,17.3087,53.5432,72.2262,26.8722,10.2648,24.7099,9.3406,13.2933,115.6496,64.2351,41.9619,65.9036,8.7846,22.8461,20.1949,27.7,19.9821,16.7981,45.8258,62.6682,16.2671,38.95,129.0,59.1809,21.4407,29.85
2022-04-29,1366.8,15.3358,82.8098,27.0167,54.5107,17.0325,53.2894,71.0861,26.9657,10.3055,24.8246,9.4852,13.4513,115.1532,66.0957,42.1374,64.7453,8.8388,22.5394,20.225,27.7,20.7851,16.7981,45.4884,63.154,16.8958,40.0,129.9,59.1013,21.5581,30.9
2022-05-04,1348.68,14.8902,80.9782,27.0167,55.3007,16.5722,53.0356,72.4274,26.218,10.1018,24.0793,9.7166,13.0451,112.2744,66.2286,42.708,65.3045,9.0557,22.2327,19.2907,26.75,19.8404,15.9982,44.9262,62.6682,15.8742,39.85,130.3,57.7472,21.0295,29.95
2022-05-05,1360.68,14.8668,82.9062,27.7057,56.1785,17.1246,53.1372,73.3663,26.3582,10.2444,24.1079,9.5141,13.0902,118.1313,66.1843,41.7863,67.661,8.9473,22.2021,18.6878,26.9,20.1238,17.0981,45.5447,66.8461,16.4243,40.0,130.8,57.4286,20.8826,30.3
2022-05-06,1329.26,14.5385,77.6041,26.8354,56.0029,16.5722,50.8533,73.6345,25.0496,9.7963,23.9646,9.0804,12.6388,116.1459,64.9439,40.2061,66.9022,8.405,21.6501,17.3917,25.5,19.6042,16.7981,44.645,66.7489,15.9528,39.9,128.0,55.9152,20.0602,29.6
2022-05-09,1269.62,14.3509,72.2056,24.9859,52.1407,15.4367,47.7067,70.3485,23.3204,9.3686,22.904,8.4731,11.8263,114.0612,60.4253,37.397,63.9465,7.8627,21.1594,16.1861,23.75,18.2342,15.7982,43.8016,66.0688,15.3241,39.55,124.0,55.7559,18.6798,28.2
2022-05-10,1293.56,14.4447,77.2185,25.965,52.6673,15.4674,49.9398,72.4274,23.1335,9.7963,23.5633,8.6177,12.21,115.2525,62.0644,37.4848,65.8637,7.9712,22.0794,16.819,23.9,18.2815,16.6481,44.9824,67.9148,15.0884,40.2,129.1,56.2338,19.5609,28.1
2022-05-11,1301.53,14.8199,81.653,26.1826,51.3506,16.388,51.7161,73.031,22.9933,9.8778,23.3053,8.6177,12.4131,111.0831,62.4631,36.4313,65.3045,7.9441,22.0794,16.6985,23.55,18.4232,16.7231,44.9824,68.4978,15.5009,40.25,126.5,55.3577,19.6197,28.9
2022-05-12,1238.84,13.835,75.9653,24.3694,47.8395,15.3446,48.5187,70.8179,21.4043,9.3483,21.9293,8.0393,11.5781,103.3401,59.5393,33.8855,65.8637,7.4289,21.4661,15.5531,21.95,17.1477,15.7982,43.2955,66.9432,14.4204,39.5,124.8,52.9681,18.2686,26.9
